instance_id,n,lenw,budget,solved,nodes_used
92,4,5,500000,1,190
93,4,5,500000,0,500000
94,4,5,500000,1,9
95,4,6,500000,0,500000
96,4,6,500000,0,500000
97,4,6,500000,0,500000
98,4,6,500000,0,500000
99,4,6,500000,0,500000
100,4,6,500000,0,500000
101,4,6,500000,0,500000
102,4,6,500000,0,500000
103,4,6,500000,0,500000
104,4,6,500000,0,500000
105,4,6,500000,0,500000
106,4,6,500000,0,500000
107,4,6,500000,0,500000
108,4,6,500000,0,500000
109,4,6,500000,1,78
110,4,6,500000,1,85
111,4,6,500000,1,37
112,4,6,500000,1,29
113,4,6,500000,0,500000
114,4,6,500000,0,500000
115,4,6,500000,1,28
116,4,6,500000,0,500000
117,4,6,500000,0,500000
118,4,6,500000,0,500000
119,4,6,500000,0,500000
120,4,6,500000,1,38
121,4,6,500000,1,73
122,4,6,500000,0,500000
123,4,6,500000,0,500000
124,4,6,500000,0,500000
125,4,6,500000,0,500000
126,4,6,500000,1,27
127,4,6,500000,0,500000
128,4,6,500000,0,500000
129,4,6,500000,0,500000
130,4,6,500000,0,500000
131,4,6,500000,0,500000
132,4,6,500000,0,500000
133,4,6,500000,0,500000
134,4,6,500000,0,500000
135,4,6,500000,0,500000
136,4,6,500000,1,17
137,5,3,500000,1,12
138,5,3,500000,1,10
139,5,4,500000,0,500000
140,5,4,500000,1,334
141,5,4,500000,1,27
142,5,4,500000,1,345
143,5,4,500000,0,500000
144,5,4,500000,1,10
145,5,5,500000,0,500000
146,5,5,500000,0,500000
147,5,5,500000,0,500000
148,5,5,500000,0,500000
149,5,5,500000,0,500000
150,5,5,500000,0,500000
151,5,5,500000,0,500000
152,5,5,500000,0,500000
153,5,5,500000,1,14
154,5,5,500000,0,500000
155,5,5,500000,0,500000
156,5,5,500000,0,500000
157,5,5,500000,0,500000
158,5,5,500000,0,500000
159,5,5,500000,0,500000
160,5,5,500000,0,500000
161,5,5,500000,0,500000
162,5,5,500000,1,10
163,5,6,500000,0,500000
164,5,6,500000,0,500000
165,5,6,500000,0,500000
166,5,6,500000,0,500000
167,5,6,500000,0,500000
168,5,6,500000,0,500000
169,5,6,500000,0,500000
170,5,6,500000,0,500000
171,5,6,500000,0,500000
172,5,6,500000,0,500000
173,5,6,500000,0,500000
174,5,6,500000,1,44
175,5,6,500000,0,500000
176,5,6,500000,0,500000
177,5,6,500000,0,500000
178,5,6,500000,0,500000
179,5,6,500000,0,500000
180,5,6,500000,1,56
181,5,6,500000,0,500000
182,5,6,500000,0,500000
183,5,6,500000,1,11
184,5,6,500000,0,500000
185,5,6,500000,0,500000
186,5,6,500000,0,500000
187,5,6,500000,0,500000
188,5,6,500000,0,500000
189,5,6,500000,0,500000
190,5,6,500000,0,500000
191,5,6,500000,0,500000
192,5,6,500000,1,48
193,5,6,500000,0,500000
194,5,6,500000,1,52
195,5,6,500000,0,500000
196,5,6,500000,0,500000
197,5,6,500000,0,500000
198,5,6,500000,0,500000
199,5,6,500000,0,500000
200,5,6,500000,0,500000
201,5,6,500000,0,500000
202,5,6,500000,0,500000
203,5,6,500000,0,500000
204,5,6,500000,1,10
