instance_id,n,lenw,budget,solved,nodes_used
1,3,3,500000,1,12
2,3,3,500000,1,8
3,3,4,500000,0,500000
4,3,4,500000,1,45
5,3,4,500000,1,9
6,3,4,500000,1,53
7,3,4,500000,0,500000
8,3,4,500000,1,8
9,3,5,500000,1,31
10,3,5,500000,0,500000
11,3,5,500000,0,500000
12,3,5,500000,1,70
13,3,5,500000,1,65
14,3,5,500000,1,26
15,3,5,500000,0,500000
16,3,5,500000,0,500000
17,3,5,500000,1,24
18,3,5,500000,1,67
19,3,5,500000,0,500000
20,3,5,500000,1,23
21,3,5,500000,1,28
22,3,5,500000,0,500000
23,3,5,500000,0,500000
24,3,5,500000,1,71
25,3,5,500000,0,500000
26,3,5,500000,1,15
27,3,6,500000,0,500000
28,3,6,500000,0,500000
29,3,6,500000,0,500000
30,3,6,500000,1,88
31,3,6,500000,1,35
32,3,6,500000,0,500000
33,3,6,500000,0,500000
34,3,6,500000,0,500000
35,3,6,500000,1,85
36,3,6,500000,1,28
37,3,6,500000,1,29
38,3,6,500000,0,500000
39,3,6,500000,1,67
40,3,6,500000,0,500000
41,3,6,500000,1,99
42,3,6,500000,0,500000
43,3,6,500000,0,500000
44,3,6,500000,1,22
45,3,6,500000,1,22
46,3,6,500000,1,13
47,3,6,500000,1,31
48,3,6,500000,1,85
49,3,6,500000,0,500000
50,3,6,500000,1,27
51,3,6,500000,1,23
52,3,6,500000,0,500000
53,3,6,500000,1,91
54,3,6,500000,0,500000
55,3,6,500000,0,500000
56,3,6,500000,0,500000
57,3,6,500000,0,500000
58,3,6,500000,1,26
59,3,6,500000,1,66
60,3,6,500000,1,10
61,3,6,500000,1,23
62,3,6,500000,1,22
63,3,6,500000,1,108
64,3,6,500000,0,500000
65,3,6,500000,1,88
66,3,6,500000,0,500000
67,3,6,500000,0,500000
68,3,6,500000,1,18
69,4,3,500000,1,14
70,4,3,500000,1,9
71,4,4,500000,0,500000
72,4,4,500000,1,137
73,4,4,500000,1,13
74,4,4,500000,1,141
75,4,4,500000,0,500000
76,4,4,500000,1,9
77,4,5,500000,0,500000
78,4,5,500000,0,500000
79,4,5,500000,0,500000
80,4,5,500000,1,190
81,4,5,500000,1,180
82,4,5,500000,0,500000
83,4,5,500000,0,500000
84,4,5,500000,1,51
85,4,5,500000,1,10
86,4,5,500000,1,180
87,4,5,500000,0,500000
88,4,5,500000,0,500000
89,4,5,500000,0,500000
90,4,5,500000,1,49
91,4,5,500000,0,500000
